post_id,theme_detected,category_recommendation,post_text_snippet
0,спорт,"Спортивная одежда, спортивные товары","🎉 тгт завершились, и мы наконец узнали результаты! 🎉 

будет много текста, потому что много победите"
1,спорт,"Спортивная одежда, спортивные товары","пока мы ждём итогов, давайте вспомним, как прошли соревнования тгт вестры 2025!
 
☀️два насыщенных д"
3,спорт,"Спортивная одежда, спортивные товары","🚀 до старта тгт вестры 2025 остались считанные дни! 
 
🧭 выкладываем условия проведения соревнований"
4,туризм,"Туристическое снаряжение, туристические услуги","🏔 ""тгт вестра 2025"" – пора проверить свои силы на соревнованиях по технике горного туризма!

📅 даты:"
4,авто,"Автоаксессуары, шины, масла","🏔 ""тгт вестра 2025"" – пора проверить свои силы на соревнованиях по технике горного туризма!

📅 даты:"
5,туризм,"Туристическое снаряжение, туристические услуги","а судьи кто?

мы! 

тгт 19-20 апреля! ждем помощников и судей для организации ежегодного соревновани"
7,туризм,"Туристическое снаряжение, туристические услуги","вы ждали, ждали и дождались результатов тгт!
с огромным удовольствием представляем 🎉победителей🎉 наш"
8,туризм,"Туристическое снаряжение, туристические услуги",🧗‍♂ суббота и воскресенье. полушкинские карьеры. 187 участников. около 50 судей и 20 помощников. дес
11,туризм,"Туристическое снаряжение, туристические услуги",открываем регистрацию участников на наши ежегодные соревнования по технике горного туризма и ориенти
13,спорт,"Спортивная одежда, спортивные товары",одна из важных и долгожданных новостей для членов нашего клуба! общее собрание состоится 22 января 2
14,еда,"Продукты, доставка еды","продолжаем публиковать про дагестан на майские праздники.
""у меня есть коллега, который в молодые го"
15,спорт,"Спортивная одежда, спортивные товары","вчера состоялось награждение призеров соревнований по тгт и тпт, а также ориентированию сезона 2023!"
18,туризм,"Туристическое снаряжение, туристические услуги","дорогие слушатели школ!
мы рады объявить, что школьные соревнования по технике горного туризма тгт с"
26,туризм,"Туристическое снаряжение, туристические услуги",20 апреля я со своим напарником (игорь ручкин) участвовал во внутриклубных соревнованиях [club403500
28,спорт,"Спортивная одежда, спортивные товары","19-20 апреля у нас прошли соревнования по технике горного туризма(тгт) и ориентирование. 
понравилос"
28,туризм,"Туристическое снаряжение, туристические услуги","19-20 апреля у нас прошли соревнования по технике горного туризма(тгт) и ориентирование. 
понравилос"
29,еда,"Продукты, доставка еды",итоги xi республиканской студенческой научно-практической конференции «актуальные проблемы современн
29,здоровье,"Витамины, аптечные товары",итоги xi республиканской студенческой научно-практической конференции «актуальные проблемы современн
34,спорт,"Спортивная одежда, спортивные товары","🪢тгт вестра🪢

20 апреля в полушкино двое наших ребят [https://vk.com/briyckva|вера] и [https://vk.co"
34,туризм,"Туристическое снаряжение, туристические услуги","🪢тгт вестра🪢

20 апреля в полушкино двое наших ребят [https://vk.com/briyckva|вера] и [https://vk.co"
35,туризм,"Туристическое снаряжение, туристические услуги","тгт: от техники горного туризма к технически грамотному туристу. 
 
в минувшую субботу в полушкино ш"
36,спорт,"Спортивная одежда, спортивные товары","в прошедшие выходные участники школы ну2025 готовились к тгт. 🪢

ребята впервые занимались в полушки"
37,еда,"Продукты, доставка еды","вчера поучаствовал в [club219503150|связки мгу. 2025] 
всего два этапа нам засчитали.
из достижений,"
38,туризм,"Туристическое снаряжение, туристические услуги","чем ближе тгт, тем выше турбулентность. 
 
в эти выходные в полушкинских карьерах предстоит выполнят"
40,туризм,"Туристическое снаряжение, туристические услуги","привет, друзья! 

отмечайте в своем календаре особенную дату…🥁

25 мая 2025г состоятся соревнования "
41,авто,"Автоаксессуары, шины, масла",продолжаются соревнования по пулевой стрельбе из пневматической винтовки среди студентов ипо. принял
42,спорт,"Спортивная одежда, спортивные товары","https://vk.com/album30245738_306191668 
(фотоальбом по соревнованиям)

соревнования тгт памяти в.п.г"
42,туризм,"Туристическое снаряжение, туристические услуги","https://vk.com/album30245738_306191668 
(фотоальбом по соревнованиям)

соревнования тгт памяти в.п.г"
42,еда,"Продукты, доставка еды","https://vk.com/album30245738_306191668 
(фотоальбом по соревнованиям)

соревнования тгт памяти в.п.г"
45,спорт,"Спортивная одежда, спортивные товары","представление инструкторов, часть 3.
архипова елена.
о себе: 2 разряд по спортивному туризму. в клуб"
45,туризм,"Туристическое снаряжение, туристические услуги","представление инструкторов, часть 3.
архипова елена.
о себе: 2 разряд по спортивному туризму. в клуб"
45,еда,"Продукты, доставка еды","представление инструкторов, часть 3.
архипова елена.
о себе: 2 разряд по спортивному туризму. в клуб"
47,авто,"Автоаксессуары, шины, масла","дорогие друзья! приглашаю вас
12 октября 2024г на семинар «работа с травмой и кризисными состояниями"
47,еда,"Продукты, доставка еды","дорогие друзья! приглашаю вас
12 октября 2024г на семинар «работа с травмой и кризисными состояниями"
47,здоровье,"Витамины, аптечные товары","дорогие друзья! приглашаю вас
12 октября 2024г на семинар «работа с травмой и кризисными состояниями"
49,туризм,"Туристическое снаряжение, туристические услуги","что такое твт и тгт? спрашивают нас.

отвечаем. если оргкомитет очень рекомендует вам сходить на три"
50,туризм,"Туристическое снаряжение, туристические услуги","такого ещё не было!
вашему вниманию насыщенная программа грядущих выходных!

что новенького:

+ 4 кл"
52,туризм,"Туристическое снаряжение, туристические услуги","всем привет! 

открываем осенний сезон анонсом мероприятий.

12.09 — день первокурсника в стенах улг"
53,спорт,"Спортивная одежда, спортивные товары",наверное только ленивый не слышал про чп которое случилось в этом году в походе под моим руководство
53,авто,"Автоаксессуары, шины, масла",наверное только ленивый не слышал про чп которое случилось в этом году в походе под моим руководство
53,еда,"Продукты, доставка еды",наверное только ленивый не слышал про чп которое случилось в этом году в походе под моим руководство
53,отдых,"Путёвки, отдых на природе",наверное только ленивый не слышал про чп которое случилось в этом году в походе под моим руководство
54,авто,"Автоаксессуары, шины, масла","фестиваль родился!
и сейчас время осознаваний как это было, чувствования и интеграции всего что было"
56,авто,"Автоаксессуары, шины, масла","фестиваль родился!
и сейчас время осознаваний как это было, чувствования и интеграции всего что было"
57,еда,"Продукты, доставка еды","пока в колпашево упорно шёл снег, в самаре уже цвела сирень. это был конец апреля. 
 
#от_первого_ли"
58,спорт,"Спортивная одежда, спортивные товары","мало кто знает, но в этом году я, неожиданно для себя, стал (говорят ещё не стал) 🧗‍♂инструктором по"
58,туризм,"Туристическое снаряжение, туристические услуги","мало кто знает, но в этом году я, неожиданно для себя, стал (говорят ещё не стал) 🧗‍♂инструктором по"
62,отдых,"Путёвки, отдых на природе","люди, без которых не получилось бы провести прошедшие тгт и тпт так круто - это наши организаторы, н"
65,туризм,"Туристическое снаряжение, туристические услуги","сообщаем, что 21 апреля в районе ж/д платформ 152 км - капеасалми состоятся соревнования по технике "
66,авто,"Автоаксессуары, шины, масла","🎨 анатомия трансгенерационной травмы
📅 4 мая 14:00 - 17:00
👥 ведущие: елена бондаренко и лилия титар"
66,еда,"Продукты, доставка еды","🎨 анатомия трансгенерационной травмы
📅 4 мая 14:00 - 17:00
👥 ведущие: елена бондаренко и лилия титар"
68,туризм,"Туристическое снаряжение, туристические услуги","общеклубные соревнования от [club218651683|туристический клуб ""вестра""] по технике горного и пешеход"
69,авто,"Автоаксессуары, шины, масла","🎨 анатомия трансгенерационной травмы 
📅 4 мая 14:00 - 17:00
👥 ведущие: елена бондаренко и лилия тита"
69,еда,"Продукты, доставка еды","🎨 анатомия трансгенерационной травмы 
📅 4 мая 14:00 - 17:00
👥 ведущие: елена бондаренко и лилия тита"
71,еда,"Продукты, доставка еды","этот день в истории.

16 января родился павел басманов.

па́вел ива́нович басма́нов (3 (16) января 1"
72,еда,"Продукты, доставка еды","этот день в истории.

16 января родился павел басманов.

па́вел ива́нович басма́нов (3 (16) января 1"
73,спорт,"Спортивная одежда, спортивные товары",✨в преддверии нового года хочется подвести небольшие итоги уходящего 2023 года. федерация спортивног
73,туризм,"Туристическое снаряжение, туристические услуги",✨в преддверии нового года хочется подвести небольшие итоги уходящего 2023 года. федерация спортивног
73,здоровье,"Витамины, аптечные товары",✨в преддверии нового года хочется подвести небольшие итоги уходящего 2023 года. федерация спортивног
74,спорт,"Спортивная одежда, спортивные товары","✨ [id1445701|александр баскаков]✨

о себе: родился в 1981 году. по образованию инженер-математик (ми"
76,спорт,"Спортивная одежда, спортивные товары","пока идет запись в су (https://forms.gle/hjacxzap32ou5dgk9 ), начнем знакомить вас с нашими руководи"
76,туризм,"Туристическое снаряжение, туристические услуги","пока идет запись в су (https://forms.gle/hjacxzap32ou5dgk9 ), начнем знакомить вас с нашими руководи"
77,отдых,"Путёвки, отдых на природе","пожалуй, многого тут не расскажешь, потому что всего слишком много. ещё чуть-чуть, и полушкино стане"
78,спорт,"Спортивная одежда, спортивные товары","важная информация для первокурсников!👍

1 сентября - день знаний 📚 праздник🎉
занятий в этот день не "
78,туризм,"Туристическое снаряжение, туристические услуги","важная информация для первокурсников!👍

1 сентября - день знаний 📚 праздник🎉
занятий в этот день не "
81,туризм,"Туристическое снаряжение, туристические услуги",🙌🏼в эти выходные 13-14 мая в карьерах в полушкино прошли долгожданные соревнования «приз победы» по 
82,туризм,"Туристическое снаряжение, туристические услуги","77 первенство по горному туризму в тучково, день второй! конкурс первой помощи - случилось настоящее"
83,туризм,"Туристическое снаряжение, туристические услуги","в особый день календаря...
все, кто бывал в альплагере ""безенги"", непременно знают юрия сергеевича с"
83,авто,"Автоаксессуары, шины, масла","в особый день календаря...
все, кто бывал в альплагере ""безенги"", непременно знают юрия сергеевича с"
85,спорт,"Спортивная одежда, спортивные товары","🏆 xix-е зачетные соревнования по тпт, тгт и тст школы инструкторов.
состоялось 19 марта в урочище сл"
85,туризм,"Туристическое снаряжение, туристические услуги","🏆 xix-е зачетные соревнования по тпт, тгт и тст школы инструкторов.
состоялось 19 марта в урочище сл"
86,спорт,"Спортивная одежда, спортивные товары","🏆 xix-е зачетные соревнования по тпт, тгт и тст школы инструкторов* 
оо нотк прошли в это воскресень"
86,туризм,"Туристическое снаряжение, туристические услуги","🏆 xix-е зачетные соревнования по тпт, тгт и тст школы инструкторов* 
оо нотк прошли в это воскресень"
88,спорт,"Спортивная одежда, спортивные товары","добрый вечер(smiley)

25 февраля 2023 года в местечке «первая поляна» с. тоора-хем прошел фестиваль "
89,отдых,"Путёвки, отдых на природе","🐾 ► #стая@galleryofprojects #saferussian2@galleryofprojects ◆ #рп@galleryofprojects ◄ 

❖═══════ [✧]"
